client_code,name,product,status,city,date,category,amount,currency
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-01 09:10:36,Такси,6424.48,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-01 09:15:49,Такси,2643.9,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-01 13:10:49,Смотрим дома,4716.59,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-01 15:40:10,Такси,3669.43,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-01 17:40:30,Играем дома,5095.03,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-02 08:30:08,Смотрим дома,4043.14,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-02 08:40:51,Играем дома,5377.36,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-02 12:10:21,Продукты питания,18848.85,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-04 11:50:37,Такси,5541.49,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-04 12:10:35,Продукты питания,12139.34,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-04 17:00:10,Едим дома,4610.16,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-04 17:00:58,Кафе и рестораны,5635.01,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-04 17:40:05,Кафе и рестораны,5029.07,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-04 19:00:08,Кафе и рестораны,15408.79,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-05 19:00:39,Кафе и рестораны,5780.32,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-07 08:20:04,Такси,3914.26,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-07 12:10:37,Продукты питания,8455.81,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-08 11:00:21,Играем дома,6371.07,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-08 12:10:04,Продукты питания,18377.32,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-09 09:15:57,Такси,2804.57,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-09 09:40:39,Смотрим дома,3120.13,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-09 11:50:51,Смотрим дома,4709.72,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-09 12:10:42,Продукты питания,16376.04,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-09 18:30:36,АЗС,11038.0,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-09 19:00:43,Кафе и рестораны,11841.11,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-10 09:15:01,Такси,4622.35,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-10 09:50:20,Кино,5475.53,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-10 11:30:08,Играем дома,3421.35,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-10 16:30:09,Кино,3663.96,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-10 17:20:07,Смотрим дома,4658.13,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-10 18:10:47,Такси,6021.04,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-10 19:40:03,Едим дома,5473.4,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-11 19:00:49,Кафе и рестораны,4871.81,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-12 09:15:23,Такси,5978.97,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-12 11:30:02,Кафе и рестораны,7584.76,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-12 13:10:51,Смотрим дома,2749.59,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-12 15:40:21,Кафе и рестораны,8826.48,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-12 15:40:36,Кино,3952.33,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-12 16:50:55,Играем дома,5907.11,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-12 17:30:34,Играем дома,4640.8,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-12 21:40:57,Смотрим дома,4246.22,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-14 08:30:08,Кино,4782.15,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-14 12:10:04,Продукты питания,16646.3,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-14 13:50:43,Смотрим дома,4223.9,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-14 17:00:14,Кино,4520.94,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-14 18:30:32,АЗС,21431.43,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-15 09:00:01,Кино,9591.56,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-15 09:50:32,Играем дома,4675.19,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-15 10:30:00,Путешествия,39623.64,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-15 12:10:12,Продукты питания,14803.48,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-15 15:50:24,Кино,4286.91,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-15 19:00:40,Кафе и рестораны,5725.94,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-16 12:10:58,Продукты питания,16157.1,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-16 16:50:01,Едим дома,4244.07,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-16 19:00:47,Кафе и рестораны,10877.42,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-16 20:30:38,Кино,8183.56,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-18 10:10:19,Играем дома,6379.4,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-18 12:10:45,Продукты питания,14858.45,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-18 15:50:07,Кафе и рестораны,5458.05,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-18 17:20:02,Кино,6678.0,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-18 19:10:33,Играем дома,5416.35,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-18 21:00:54,Кафе и рестораны,7686.93,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-18 21:40:44,Кино,6625.9,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-20 19:00:16,Кафе и рестораны,7548.57,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-21 12:10:45,Продукты питания,15885.65,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-21 13:20:19,Играем дома,4399.72,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-21 17:30:11,Кино,6341.25,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-21 19:40:41,Такси,7780.44,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-22 17:10:29,Кафе и рестораны,4178.18,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-22 19:00:52,Кафе и рестораны,6584.84,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-23 08:10:39,Такси,6050.63,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-23 12:10:19,Продукты питания,9627.08,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-23 16:30:48,Такси,3817.36,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-23 21:50:56,Играем дома,3309.81,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-24 12:10:26,Продукты питания,17239.49,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-24 19:00:26,Кафе и рестораны,3153.41,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-24 20:50:56,Смотрим дома,3574.59,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-25 08:30:33,Такси,5026.79,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-25 12:10:48,Продукты питания,22660.33,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-25 12:30:16,Едим дома,6525.71,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-25 13:30:03,Едим дома,7368.92,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-25 20:10:05,Играем дома,5699.58,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-27 09:15:40,Такси,3959.31,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-27 12:10:13,Продукты питания,16151.74,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-27 12:40:44,Кино,2935.11,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-27 13:00:38,Такси,8939.55,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-27 16:40:17,Едим дома,6754.99,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-28 12:10:40,Продукты питания,8221.22,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-28 14:30:35,Едим дома,3353.44,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-28 14:30:37,Кафе и рестораны,5387.6,KZT
1,Айгерим,Карта для путешествий,зп,Алматы,2025-06-28 19:00:34,Кафе и рестораны,9348.91,KZT
